X,Y,Name,description,Name_neu
9.04373922,48.9007541,1,,1
9.03894064,48.89901367,2,,2
9.03391667,48.89719168,3,,3
9.02885721,48.89535663,4,,4
9.02382099,48.89352957,5,,5
9.01977992,48.88998502,6,,6
9.01587162,48.88655625,7,,7
9.01176381,48.88295168,8,,8
9.00821841,48.8798402,9,,9
9.00610525,48.87748485,10,,10
9.00422765,48.87539166,11,,11
9.00191376,48.87281181,12,,12
9.00086316,48.86824065,13,,13
8.99993522,48.86420203,14,,14
8.99906417,48.8604107,15,,15
8.99832648,48.85719872,16,,16
8.99763628,48.85419366,17,,17
8.99673346,48.85026291,18,,18
8.99708823,48.84630666,19,,19
8.99744497,48.8423299,20,,20
8.99782242,48.8381215,21,,21
8.99823194,48.83355581,22,,22
8.99862104,48.82921558,23,,23
8.99715132,48.82572972,24,,24
8.99536173,48.82148414,25,,25
8.99403226,48.81832984,26,,26
8.9928753,48.81558422,27,,27
8.9912377,48.81169797,28,,28
8.98942513,48.80739528,29,,29
8.9877534,48.80342655,30,,30
8.98508346,48.80033954,31,,31
8.98225977,48.79707436,32,,32
8.97920251,48.79353844,33,,33
8.97646976,48.79037748,34,,34
8.97313468,48.78651932,35,,35
8.9700281,48.78292473,36,,36
8.96786108,48.78041696,37,,37
8.96520894,48.77734735,38,,38
8.96282582,48.77458854,39,,39
8.95945956,48.77069122,40,,40
8.95675148,48.76755549,41,,41
8.95341517,48.76369157,42,,42
8.95027192,48.76005058,43,,43
8.95066972,48.75620148,44,,44
8.95105779,48.75244533,45,,45
8.95154893,48.74769069,46,,46
8.95196333,48.74367729,47,,47
8.95210762,48.74227898,39,,4739
8.95234807,48.73995253,48,,48
8.95282544,48.73532872,49,,49
8.95327674,48.73095762,50,,50
8.95371992,48.72666281,51,,51
8.95413461,48.72264297,52,,52
8.95065935,48.71928797,53,,53
8.946958,48.71571391,54,,54
8.94617322,48.7149559,55,,55
8.94275364,48.71165362,56,,56
8.93906165,48.70808753,57,,57
8.93503269,48.70419537,58,,58
8.9335101,48.70098948,59,,59
8.93186677,48.69752817,60,,60
8.93019292,48.69400247,61,,61
8.93112664,48.69071377,62,,62
8.93215312,48.68709859,63,,63
8.9331867,48.68345927,64,,64
8.9343117,48.67949889,65,,65
8.9355479,48.67514539,66,,66
8.93107342,48.67154129,67,,67
8.92662057,48.66795379,68,,68
8.9221681,48.66436631,69,,69
8.91848905,48.66140195,6,,696
8.91820137,48.66116948,70,,70
8.91207716,48.65942712,71,,71
8.90668865,48.65789266,72,,72
8.90031311,48.65607817,73,,73
8.89459846,48.65445041,74,,74
8.88834216,48.65266799,75,,75
8.88221695,48.65092233,76,,76
8.87692278,48.64941324,77,,77
8.8719485,48.64799506,78,,78
8.87192331,48.64428592,79,,79
8.87189897,48.64071473,80,,80
8.87186886,48.63626343,81,,81
8.87184135,48.63221335,82,,82
8.87181499,48.62833983,83,,83
8.8718757,48.62464568,0,,831
8.87192216,48.6218262,0,,832
8.87198224,48.61817462,0,,833
8.87203142,48.61518689,0,,834
8.86773445,48.62685544,84,,84
8.86339207,48.62527547,85,,85
8.85875377,48.62358757,86,,86
8.85325433,48.62158586,87,,87
8.84756737,48.61951554,88,,88
8.84343661,48.61884326,89,,89
8.83826852,48.61800187,90,,90
8.83369492,48.61725709,91,,91
8.82913019,48.61651367,92,,92
8.82454564,48.61576666,93,,93
8.81982771,48.61499777,94,,94
8.81525445,48.61425218,95,,95
8.8101747,48.6134238,96,,96
8.80542355,48.61264885,97,,97
8.80134085,48.61198271,98,,98
8.79599874,48.61111072,99,,99
8.79220461,48.60905832,100,,100
8.78874107,48.60718465,101,,101
8.78372166,48.60446884,102,,102
8.77977317,48.60233191,103,,103
8.77904014,48.59893015,104,,104
8.7782996,48.59549365,105,,105
8.78085344,48.59216749,106,,106
8.78370331,48.58845503,107,,107
8.78604539,48.58540299,108,,108
